gene,lable
hsa-miR-4286,1
hsa-miR-4287,1
hsa-miR-4288,1
hsa-miR-4289,1
hsa-miR-429,1
hsa-miR-4290,1
hsa-miR-4291,1
hsa-miR-4292,1
hsa-miR-4293,1
hsa-miR-4294,1
hsa-miR-4295,1
hsa-miR-4296,1
hsa-miR-4297,1
hsa-miR-4298,1
hsa-miR-4299,1
hsa-miR-4300,1
hsa-miR-4301,1
hsa-miR-4302,1
hsa-miR-4303,1
hsa-miR-4304,1
hsa-miR-4305,1
hsa-miR-4306,1
hsa-miR-4307,1
hsa-miR-4308,1
hsa-miR-4309,1
hsa-miR-431-5p,1
hsa-miR-4310,1
hsa-miR-4311,1
hsa-miR-4312,1
hsa-miR-4313,1
hsa-miR-4314,1
hsa-miR-4315,1
hsa-miR-4316,1
hsa-miR-4317,1
hsa-miR-4318,1
hsa-miR-4319,1
hsa-miR-432-5p,1
hsa-miR-4320,1
hsa-miR-4321,1
hsa-miR-4322,1
hsa-miR-4323,1
hsa-miR-4324,1
hsa-miR-4325,1
hsa-miR-4326,1
hsa-miR-4327,1
hsa-miR-4328,1
hsa-miR-4329,1
hsa-miR-433-5p,1
hsa-miR-4330,1
hsa-miR-4417,1
hsa-miR-4418,1
hsa-miR-4419a,1
hsa-miR-4419b,1
hsa-miR-4420,1
hsa-miR-4421,1
hsa-miR-4422,1
hsa-miR-4423-5p,1
hsa-miR-4424,1
hsa-miR-4425,1
hsa-miR-4426,1
hsa-miR-4427,1
hsa-miR-4428,1
hsa-miR-4429,1
hsa-miR-4430,1
hsa-miR-4431,1
hsa-miR-4432,1
hsa-miR-4433a-5p,1
hsa-miR-4433b-5p,1
hsa-miR-4434,1
hsa-miR-4435,1
hsa-miR-4436a,1
hsa-miR-4436b-5p,1
hsa-miR-4437,1
hsa-miR-4438,1
hsa-miR-4439,1
hsa-miR-4440,1
hsa-miR-4441,1
hsa-miR-4442,1
hsa-miR-4443,1
hsa-miR-4444,1
hsa-miR-4445-5p,1
hsa-miR-4446-5p,1
hsa-miR-4447,1
hsa-miR-4448,1
hsa-miR-4449,1
hsa-miR-4450,1
hsa-miR-4451,1
hsa-miR-4452,1
hsa-miR-4453,1
hsa-miR-4454,1
hsa-miR-4455,1
hsa-miR-4456,1
hsa-miR-4457,1
hsa-miR-4458,1
hsa-miR-4459,1
hsa-miR-4460,1
hsa-miR-4461,1
hsa-miR-4462,1
hsa-miR-4463,1
hsa-miR-4464,1
hsa-miR-4465,1
hsa-miR-4466,1
hsa-miR-4467,1
hsa-miR-4468,1
hsa-miR-4469,1
hsa-miR-4470,1
hsa-miR-4471,1
hsa-miR-4472,1
hsa-miR-4473,1
hsa-miR-4474-5p,1
hsa-miR-4475,1
hsa-miR-4476,1
hsa-miR-4477a,1
hsa-miR-4477b,1
hsa-miR-4478,1
hsa-miR-4479,1
hsa-miR-448,1
hsa-miR-4480,1
hsa-miR-4481,1
hsa-miR-4482-5p,1
hsa-miR-4483,1
hsa-miR-4484,1
hsa-miR-4485-3p,1
hsa-miR-4486,1
hsa-miR-4487,1
hsa-miR-4488,1
hsa-miR-4489,1
hsa-miR-4490,1
hsa-miR-4491,1
hsa-miR-4492,1
hsa-miR-4493,1
hsa-miR-4494,1
hsa-miR-4495,1
hsa-miR-4496,1
hsa-miR-4497,1
hsa-miR-4498,1
hsa-miR-4499,1
hsa-miR-449a,1
hsa-miR-449b-5p,1
hsa-miR-449c-5p,1
hsa-miR-4500,1
hsa-miR-4501,1
hsa-miR-4502,1
hsa-miR-4503,1
hsa-miR-4504,1
hsa-miR-4505,1
hsa-miR-4506,1
hsa-miR-4507,1
hsa-miR-4508,1
hsa-miR-4509,1
hsa-miR-450a-5p,1
hsa-miR-450b-5p,1
hsa-miR-4510,1
hsa-miR-4511,1
hsa-miR-4512,1
hsa-miR-4513,1
hsa-miR-4514,1
hsa-miR-4515,1
hsa-miR-4516,1
hsa-miR-4517,1
hsa-miR-4518,1
hsa-miR-4519,1
hsa-miR-451a,1
hsa-miR-451b,1
hsa-miR-452-5p,1
hsa-miR-4520-5p,1
hsa-miR-4520b-5p,1
hsa-miR-4521,1
hsa-miR-4522,1
hsa-miR-4523,1
hsa-miR-4524a-5p,1
hsa-miR-4524b-5p,1
hsa-miR-4525,1
hsa-miR-4526,1
hsa-miR-4527,1
hsa-miR-4528,1
hsa-miR-4529-5p,1
hsa-miR-4530,1
hsa-miR-4531,1
hsa-miR-4532,1
hsa-miR-4533,1
hsa-miR-4534,1
hsa-miR-4535,1
hsa-miR-4536-5p,1
hsa-miR-4537,1
hsa-miR-4538,1
hsa-miR-4539,1
hsa-miR-454-5p,1
hsa-miR-4540,1
hsa-miR-455-5p,1
hsa-miR-4632-5p,1
hsa-miR-4633-5p,1
hsa-miR-4634,1
hsa-miR-4635,1
hsa-miR-4636,1
hsa-miR-4637,1
hsa-miR-4638-5p,1
hsa-miR-4639-5p,1
hsa-miR-4640-5p,1
hsa-miR-4641,1
hsa-miR-4642,1
hsa-miR-4643,1
hsa-miR-4644,1
hsa-miR-4645-5p,1
hsa-miR-4646-5p,1
hsa-miR-4647,1
hsa-miR-4648,1
hsa-miR-4649-5p,1
hsa-miR-4650-5p,1
hsa-miR-4651,1
hsa-miR-4652-5p,1
hsa-miR-4653-5p,1
hsa-miR-4654,1
hsa-miR-4655-5p,1
hsa-miR-4656,1
hsa-miR-4657,1
hsa-miR-4658,1
hsa-miR-4659a-5p,1
hsa-miR-4659b-5p,1
hsa-miR-466,1
hsa-miR-4660,1
hsa-miR-4661-5p,1
hsa-miR-4662a-5p,1
hsa-miR-4662b,1
hsa-miR-4663,1
hsa-miR-4664-5p,1
hsa-miR-4665-5p,1
hsa-miR-4666a-5p,1
hsa-miR-4666b,1
hsa-miR-4667-5p,1
hsa-miR-4668-5p,1
hsa-miR-4669,1
hsa-miR-4670-5p,1
hsa-miR-4671-5p,1
hsa-miR-4672,1
hsa-miR-4673,1
hsa-miR-4674,1
hsa-miR-4675,1
hsa-miR-4676-5p,1
hsa-miR-4677-5p,1
hsa-miR-4678,1
hsa-miR-4679,1
hsa-miR-4680-5p,1
hsa-miR-4681,1
hsa-miR-4682,1
hsa-miR-4683,1
hsa-miR-4684-5p,1
hsa-miR-4685-5p,1
hsa-miR-4686,1
hsa-miR-4687-5p,1
hsa-miR-4688,1
hsa-miR-4689,1
hsa-miR-4690-5p,1
hsa-miR-4691-5p,1
hsa-miR-4692,1
hsa-miR-4693-5p,1
hsa-miR-4694-5p,1
hsa-miR-4695-5p,1
hsa-miR-4696,1
hsa-miR-4697-5p,1
hsa-miR-4698,1
hsa-miR-4699-5p,1
hsa-miR-4700-5p,1
hsa-miR-4701-5p,1
hsa-miR-4703-5p,1
hsa-miR-4704-5p,1
hsa-miR-4705,1
hsa-miR-4706,1
hsa-miR-4707-5p,1
hsa-miR-4708-5p,1
hsa-miR-4709-5p,1
hsa-miR-4710,1
hsa-miR-4711-5p,1
hsa-miR-4712-5p,1
hsa-miR-4713-5p,1
hsa-miR-4714-5p,1
hsa-miR-4715-5p,1
hsa-miR-4716-5p,1
hsa-miR-4717-5p,1
hsa-miR-4718,1
hsa-miR-4719,1
hsa-miR-4720-5p,1
hsa-miR-4721,1
hsa-miR-4722-5p,1
hsa-miR-4723-5p,1
hsa-miR-4724-5p,1
hsa-miR-4725-5p,1
hsa-miR-4726-5p,1
hsa-miR-4727-5p,1
hsa-miR-4728-5p,1
hsa-miR-4729,1
hsa-miR-4730,1
hsa-miR-4731-5p,1
hsa-miR-4732-5p,1
hsa-miR-4733-5p,1
hsa-miR-4734,1
hsa-miR-4735-5p,1
hsa-miR-4736,1
hsa-miR-4737,1
hsa-miR-4738-5p,1
hsa-miR-4739,1
hsa-miR-4740-5p,1
hsa-miR-4741,1
hsa-miR-4742-5p,1
hsa-miR-4743-5p,1
hsa-miR-4744,1
hsa-miR-4745-5p,1
hsa-miR-4746-5p,1
hsa-miR-4747-5p,1
hsa-miR-4748,1
hsa-miR-4749-5p,1
hsa-miR-4750-5p,1
hsa-miR-4751,1
hsa-miR-4752,1
hsa-miR-4753-5p,1
hsa-miR-4754,1
hsa-miR-4755-5p,1
hsa-miR-4756-5p,1
hsa-miR-4757-5p,1
hsa-miR-4758-5p,1
hsa-miR-4759,1
hsa-miR-4760-5p,1
hsa-miR-4761-5p,1
hsa-miR-4762-5p,1
hsa-miR-4763-5p,1
hsa-miR-4764-5p,1
hsa-miR-4765,1
hsa-miR-4766-5p,1
hsa-miR-4767,1
hsa-miR-4768-5p,1
hsa-miR-4769-5p,1
hsa-miR-4770,1
hsa-miR-4771,1
hsa-miR-4772-5p,1
hsa-miR-4773,1
hsa-miR-4774-5p,1
hsa-miR-4775,1
hsa-miR-4776-5p,1
hsa-miR-4777-5p,1
hsa-miR-4778-5p,1
hsa-miR-4779,1
hsa-miR-4780,1
hsa-miR-4781-5p,1
hsa-miR-4782-5p,1
hsa-miR-4783-5p,1
hsa-miR-4784,1
hsa-miR-4785,1
hsa-miR-4786-5p,1
hsa-miR-4787-5p,1
hsa-miR-4788,1
hsa-miR-4789-5p,1
